Turkish,English
bir,one
ve,and
olmak,be
bu,it
için,for
o,he
ben,I
demek,say
çok,very
yapmak,make
ne,What
gibi,as
daha,more
almak,receive
var,there is
kendi,own
gelmek,come
ile,with
vermek,give
ama,but
sonra,Then
kadar,until
yer,place
en,most
insan,human
değil,not
her,each
istemek,request
yıl,year
çıkmak,exit
görmek,see
gün,day
biz,we
gitmek,go
iş,business
şey,thing
ara,Search
ki,that
bilmek,know
el,hand
zaman,time
ya,either
çocuk,child
iki,two
bakmak,look
çalışmak,work
içinde,in
büyük,big
yok,no
başlamak,to start
yol,way
kalmak,stay
neden,why is that
siz,you
konu,subject
yapılmak,be done
iyi,good
kadın,woman
ev,home
ise,if
diye,that
bulunmak,have
söylemek,say
göz,eye
gerekmek,be required
dünya,world
baş,top
durum,status
yan,side
geçmek,pass
sen,joyful
onlar,them
yeni,new
önce,before
başka,another
hal,status
orta,middle
şu,That
girmek,enter
ülke,country
yemek,food
hiç,no
bile,even
nasıl,how
bütün,all
karşı,against
bulmak,find
böyle,such
yaşamak,live
düşünmek,think
aynı,same
iç,internal
ancak,but
kişi,person
bunlar,these
veya,or
ilk,first
göre,by
ön,front
son,end
biri,someone
şekil,figure
önemli,important
yüz,face
hem,and
göstermek,show
etmek,to make
alt,lower
getirmek,to bring
kullanmak,use
çünkü,because
taraf,side
şimdi,now
adam,man
onun,her
diğer,other
artık,no longer
üzerinde,over
ses,sound
hep,always
doğru,right
durmak,stop
kız,girl
tüm,all
çekmek,attract
konuşmak,talk
para,money
anlamak,understand
anne,mom
az,little
bazı,Some
baba,father
hayat,life
sadece,just
küçük,small
fazla,much
bilgi,information
an,moment
sormak,ask
bunun,its
öyle,so
yine,again
sağlamak,provide
sonuç,result
kullanılmak,to be used
diş,tooth
ad,name
yani,so
süre,time
dönmek,return
açmak,open
oturmak,sit
anlatmak,tell
bırakmak,To leave
hemen,now
saat,hour
yaş,age
sorun,problem
devlet,state
sahip,owner
sıra,desk
yazmak,write
yüzde,percent
ay,moon
atmak,throw away
tutmak,keep
bunu,this
olay,event
düşmek,fall
duymak,hear
söz,promise
güzel,beautiful
sevmek,love
biraz,some
zor,hard
çıkarmak,eject
şu,That
koymak,put
tek,single
sistem,system
birlikte,together
verilmek,to be given
kim,who
alınmak,to be taken
genç,young
kapı,door
kitap,book
üzerine,over
burada,here
gece,night
alan,domain
birbiri,each other
işte,Request
beklemek,wait
uzun,long
hiçbir,no
bugün,today
dönem,period
arkadaş,friend